Date,Open,Higt,Low,Close,Volume,RSI,RSISignal,CCI,CCISignal,UpDI,DownDI,ADX,PDI,MDI,WilliamsR,WilliamsD,MACD,MACDSignal,MACDOscillator,Close5ma,Close10ma,Close20ma,Close60ma,INDNB,INSNB,FNB,Call,EX,SSR
2013-03-12,18639,18841,18639,18680,247733,0.1495,0.1588,-141.38,-115.98,5.8,39.26,0.593,0.058,0.3926,-0.8356,-0.871,-459.87,-360.72,-99.15,99.08,98.16,95.15,94.02,1357,17044,-18431,2.75,1095.2,1.5
2013-03-13,18639,18841,18075,18156,847874,0.0981,0.1467,-188.68,-130.52,4.31,48.07,0.6253,0.0431,0.4807,-0.9504,-0.9107,-505.82,-389.74,-116.08,97.24,95.98,93.37,91.41,51481,-18801,-30343,2.75,1097.4,0.23
2013-03-14,18236,18277,17874,17874,517431,0.0931,0.136,-197.52,-143.92,3.73,48.32,0.6561,0.0373,0.4832,-1,-0.9553,-558.55,-423.5,-135.05,96.92,95.19,92.93,90.04,11463,-12677,1277,2.74,1109,5.52
2013-03-15,18055,18458,18055,18458,448085,0.2728,0.1633,-110.5,-137.23,8.74,39.44,0.6536,0.0874,0.3944,-0.6814,-0.8184,-546.91,-448.18,-98.73,100.46,98.73,96.54,92.98,-27677,-1966,29601,2.74,1110.3,10.19
2013-03-18,18458,18478,18035,18297,272164,0.2662,0.1839,-100.03,-129.79,7.53,33.97,0.6514,0.0753,0.3397,-0.7408,-0.7796,-544.4,-467.42,-76.97,100.02,98.27,96.12,92.19,-474,19342,-18868,2.74,1114.6,0.05
2013-03-19,18337,18579,18337,18518,309055,0.3491,0.2169,-53.9,-114.62,10.14,30.83,0.6319,0.1014,0.3083,-0.6005,-0.69,-518.6,-477.66,-40.94,101.41,99.79,97.62,93.25,-131,-7071,7202,2.74,1111.55,0.04
2013-03-20,18498,18579,18115,18458,322106,0.341,0.2418,-62,-104.09,8.63,33.37,0.6262,0.0863,0.3337,-0.6377,-0.6639,-497.26,-481.58,-15.68,100.75,99.79,97.61,92.91,-5938,-584,5514,2.74,1116.1,9.29
2013-03-21,18357,18538,18236,18438,289354,0.341,0.2616,-49.25,-93.12,7.76,30.01,0.6212,0.0776,0.3001,-0.6316,-0.6477,-476.47,-480.56,4.09,100.02,100,97.82,92.77,-3219,259,2960,2.74,1115.7,1.11
2013-03-22,18579,18639,18357,18478,445911,0.3801,0.2853,-24.15,-79.33,10.51,27.07,0.5971,0.1051,0.2707,-0.5894,-0.6186,-451.56,-474.76,23.19,100.22,100.39,98.28,92.93,-7693,10139,-2297,2.74,1119.3,0.8
2013-03-25,18559,18659,18458,18478,285736,0.3588,0.3,-5.27,-64.52,10.47,25.05,0.5723,0.1047,0.2505,-0.5716,-0.5951,-426.9,-465.19,38.28,100.02,100.51,98.57,92.9,535,-7472,6939,2.74,1110.8,4.41
2013-03-26,18559,18579,18377,18538,210331,0.3877,0.3176,-2.91,-52.2,9.63,26.25,0.5577,0.0963,0.2625,-0.4768,-0.5359,-397.93,-451.74,53.81,100.32,100.92,99.14,93.14,-1491,-6393,8026,2.74,1105.7,11.52
2013-03-27,18619,18619,18256,18438,475354,0.378,0.3297,-11.78,-44.11,8.27,27.25,0.5546,0.0827,0.2725,-0.5556,-0.5457,-378.67,-437.12,58.45,99.81,100.22,98.82,92.61,9048,-8613,-59,2.74,1111.6,12.95
2013-03-28,18337,18538,18337,18377,153917,0.4053,0.3448,-6.79,-36.65,7.58,24.99,0.5519,0.0758,0.2499,-0.5196,-0.5327,-364.14,-422.53,58.39,99.54,99.62,98.74,92.3,5817,-7877,2060,2.74,1112.7,5.05
2013-03-29,18438,18559,18337,18478,374376,0.4503,0.3659,28.91,-23.54,7.76,22.6,0.5435,0.0776,0.226,-0.3754,-0.454,-340.54,-406.13,65.59,100.09,100.15,99.49,92.83,394,7055,-7449,2.75,1111.1,2.19
2013-04-01,18680,18780,18478,18720,392514,0.5081,0.3943,166.4,14.45,16.3,19.65,0.4834,0.163,0.1965,-0.1251,-0.2896,-298.87,-384.68,85.81,101.13,101.23,100.89,94.06,-1900,8847,-6947,2.74,1114.8,4.3
2013-04-02,18760,18800,18256,18397,380818,0.5534,0.4262,44.65,20.49,12.82,24.17,0.4599,0.1282,0.2417,-0.4352,-0.3624,-288.58,-365.46,76.88,99.54,99.55,99.34,92.57,3684,3396,-7203,2.74,1118,0.36
2013-04-03,18377,18458,18035,18115,363037,0.5534,0.4516,-181.9,-19.99,10.76,28.68,0.4591,0.1076,0.2868,-0.8954,-0.6289,-299.73,-352.31,52.59,98.36,98.21,98.07,91.36,6635,-4648,-1088,2.74,1117.5,0.95
2013-04-04,18035,18357,17793,18236,309933,0.4381,0.4489,-193.02,-54.59,8.63,31.5,0.4739,0.0863,0.315,-0.5601,-0.5945,-295.39,-340.93,45.54,99.17,98.97,98.94,92.17,-25137,21779,3344,2.74,1123.8,0.9
2013-04-05,18297,18518,18015,18035,189081,0.4285,0.4448,-138.38,-71.35,12.59,26.16,0.4574,0.1259,0.2616,-0.7597,-0.6771,-304.66,-333.67,29.01,98.55,98.12,98.05,91.36,-3484,2576,908,2.74,1131.8,0.7
2013-04-08,18095,18115,17088,17309,638124,0.2413,0.4041,-291.03,-115.29,9,44.45,0.4849,0.09,0.4445,-0.8709,-0.774,-366.37,-340.21,-26.16,96.06,94.77,94.46,87.95,49555,10523,-60078,2.74,1140.1,0.87
2013-04-09,17309,17571,16926,17209,492683,0.2373,0.3708,-234.36,-139.1,7.46,41.14,0.5126,0.0746,0.4114,-0.849,-0.8115,-418.52,-355.87,-62.64,96.78,94.91,94.29,87.71,8630,5984,-14564,2.75,1139.4,4.13
2013-04-10,17269,17551,17128,17491,376024,0.3206,0.3607,-149.33,-141.15,6.6,36.42,0.5367,0.066,0.3642,-0.6985,-0.755,-432.11,-371.12,-60.99,99.07,96.97,96.01,89.41,-16455,30319,-13864,2.75,1135.7,0.32
2013-04-11,17390,17632,17289,17470,359003,0.3076,0.3501,-106.01,-134.12,8.25,32.88,0.545,0.0825,0.3288,-0.7097,-0.7324,-439.51,-384.8,-54.71,99.81,97.35,96.01,89.53,23604,10062,-33666,2.74,1129.1,20.96
