일자,시가,고가,저가,종가,Close5ma,Close10ma,Close20ma,Close60ma,거래량,RSI,CCI,ADX,WilliamsR,UpDI,DownDI,Net Institutional Buying,외국인 순매수
2023-02-06,"62,800","63,000","61,600","61,600",98.81,97.98,99.79,101.99,"15,529,356",52.90%,-19.6,24.05%,-66.67%,23.16,28.49,"-1,768,399","-2,260,613"
2023-02-03,"63,900","64,000","63,000","63,800",101.79,101.5,103.64,105.62,"15,194,598",63.87%,71.62,26.16%,-23.53%,28.47,20.44,"-2,021,442","3,802,859"
2023-02-02,"63,200","63,900","62,600","63,500",101.05,101.57,103.66,105.18,"23,285,983",62.93%,70.64,27.65%,-29.41%,30.3,22.47,"-1,232,547","5,109,404"
2023-02-01,"62,600","62,700","61,000","61,800",98.22,99.25,101.55,102.46,"18,570,133",57.00%,-3.87,29.63%,-62.75%,24.38,27.42,"-512,004","68,939"
2023-01-31,"63,500","63,700","61,000","61,000",96.46,98.07,100.76,101.2,"29,746,731",51.58%,5.67,33.28%,-78.43%,28.85,32.44,"1,535,227","-6,764,114"
2023-01-30,"64,900","64,900","63,100","63,300",99.84,101.8,105.05,105.07,"20,995,234",74.16%,112.45,37.50%,-31.48%,38.56,17.17,"-677,494","1,591,235"
2023-01-27,"64,400","65,000","63,900","64,600",102.47,104.36,107.81,107.33,"18,760,182",88.10%,185.41,37.36%,-5.63%,47.88,10.58,"440,271","5,813,254"
2023-01-26,"63,800","63,900","63,300","63,900",102.73,103.92,107.22,106.31,"13,278,277",87.65%,192.12,33.29%,0.00%,40.23,12.13,"-56,761","3,574,716"
2023-01-25,"63,500","63,700","63,000","63,400",102.89,103.7,106.92,105.61,"16,822,710",90.00%,191.13,30.16%,-3.70%,40.75,13.04,"164,892","7,444,759"
2023-01-20,"62,100","62,300","61,100","61,800",101.05,101.53,104.69,103.11,"9,646,327",87.06%,89.06,26.87%,-6.41%,32.27,16.39,"127,097","1,529,767"
2023-01-19,"60,500","61,500","60,400","61,500",100.89,101.5,104.42,102.68,"12,808,490",86.90%,67.57,25.98%,-1.41%,26.64,19.08,"-1,422,690","4,766,332"
2023-01-18,"60,700","61,000","59,900","60,400",99.41,100.23,102.86,100.9,"11,584,041",72.09%,49.78,27.44%,-16.90%,23.82,21.93,"-894,047","260,412"
2023-01-17,"61,200","61,500","60,600","61,000",100.36,101.67,104.04,101.98,"9,831,456",65.26%,77.37,31.02%,-8.45%,27.37,15.72,"-605,869","1,120,051"
2023-01-16,"61,300","61,600","60,800","61,100",100.73,102.79,104.35,102.25,"10,039,972",66.67%,94.64,31.64%,-7.04%,30.6,14.95,"1,102,518","1,076,046"
2023-01-13,"60,500","61,200","60,400","60,800",100.36,103.26,103.98,101.89,"12,510,328",64.21%,99.23,31.21%,-5.97%,28.66,16.44,"434,082","1,382,414"
2023-01-12,"61,100","61,200","59,900","60,500",100.46,103.72,103.6,101.54,"16,102,561",56.86%,109.53,31.85%,-10.45%,31.39,18.01,"-1,546,824","1,726,345"
2023-01-11,"61,000","61,200","60,300","60,500",101.24,104.42,103.6,101.67,"12,310,751",61.06%,131.5,32.58%,-10.45%,36.24,16.03,"684,500","115,700"
