Date,Open,Higt,Low,Close,Volume,RSI,RSISignal,CCI,CCISignal,UpDI,DownDI,ADX,PDI,MDI,WilliamsR,WilliamsD,MACD,MACDSignal,MACDOscillator,Close5ma,Close10ma,Close20ma,Close60ma,INDNB,INSNB,FNB,Call,EX,SSR
2013-01-16,101224,102012,99649,102012,88072,0.7009,0.5936,-70.76,18.62,12.83,23.3,0.2089,0.1283,0.233,-0.4266,-0.3427,413.4,440.96,-27.56,98.4,98.14,99.74,100.09,-1500,17410,-15908,2.75,1058.7,7.71
2013-01-17,101224,102406,100830,101224,22818,0.6111,0.5971,-88.94,-2.89,13.75,21.55,0.2105,0.1375,0.2155,-0.5833,-0.463,228.69,398.51,-169.82,98.39,97.68,99.15,99.4,-3374,1483,1891,2.75,1058.1,14.33
2013-01-18,102012,102012,100436,101618,33017,0.5,0.5777,-106.44,-23.6,12.65,21.82,0.2179,0.1265,0.2182,-0.6842,-0.5736,112.79,341.36,-228.57,99.31,98.32,99.67,99.86,-2476,8441,-5965,2.75,1057.2,0.42
2013-01-21,102012,103193,101224,102406,17229,0.5333,0.5688,-63.79,-31.64,17.54,19.57,0.1962,0.1754,0.1957,-0.6111,-0.5923,83.57,289.81,-206.24,100.62,99.27,100.27,100.7,-276,-1230,1414,2.76,1062.9,2.46
2013-01-22,103193,103193,101224,102406,20921,0.44,0.5431,-57.31,-36.77,15.67,17.49,0.1773,0.1567,0.1749,-0.6111,-0.6017,59.72,243.79,-184.07,100.46,99.43,100.1,100.74,1078,-2290,1307,2.75,1062.3,3.18
2013-01-23,101618,104375,101618,101618,65356,0.36,0.5065,-36.46,-36.71,19.66,14.92,0.172,0.1966,0.1492,-0.7222,-0.662,-22.51,190.53,-213.04,99.77,98.89,99.18,100.01,-5895,-2206,8146,2.75,1066.2,0.99
2013-01-24,101618,102406,100436,102012,43049,0.3847,0.4821,-76.4,-44.65,17.54,19.79,0.1571,0.1754,0.1979,-0.6667,-0.6643,-55.24,141.38,-196.62,100,99.58,99.25,100.37,-1593,2200,-607,2.75,1068.7,10.46
2013-01-25,102012,102800,99255,101618,97515,0.3704,0.4598,-88.02,-53.32,14.33,22.26,0.165,0.1433,0.2226,-0.6842,-0.6743,-111.69,90.76,-202.45,99.61,99.46,98.7,99.97,-3061,11989,-8928,2.75,1074.5,0.67
2013-01-28,101618,101618,100436,100830,37831,0.3572,0.4392,-91.24,-60.9,13.39,20.8,0.1719,0.1339,0.208,-0.7895,-0.7319,-217.5,29.11,-246.61,99.15,99.11,97.97,99.21,3814,-13955,10441,2.75,1093.5,0.95
2013-01-29,100436,102406,100042,101224,47976,0.3793,0.4273,-68.86,-62.5,16.01,18.06,0.157,0.1601,0.1806,-0.7369,-0.7344,-266.5,-30.01,-236.48,99.77,99.54,98.37,99.6,-2258,-364,1922,2.75,1082.5,1.38
2013-01-30,100830,102012,100830,102012,19543,0.3572,0.4132,-38.55,-57.71,14.88,16.78,0.1441,0.1488,0.1678,-0.6316,-0.683,-238.98,-71.81,-167.18,100.47,100.31,99.21,100.32,-2872,2073,799,2.75,1085.45,3.34
2013-01-31,102406,102800,101224,101224,50953,0.3572,0.402,-18.18,-49.8,18.33,15.13,0.1376,0.1833,0.1513,-0.7222,-0.7026,-277.57,-112.96,-164.61,99.84,99.54,98.6,99.54,-3594,7990,-4396,2.76,1089,0.79
2013-02-01,101224,101618,95316,97285,209877,0.2223,0.3661,-336.95,-107.23,12.62,39.62,0.1882,0.1262,0.3962,-0.8077,-0.7552,-618.85,-214.14,-404.72,96.79,96.07,95.09,95.74,14119,-33372,15523,2.75,1097.4,7.17
2013-02-04,97679,98073,95710,97285,65887,0.2963,0.3521,-265.16,-138.82,11.12,34.92,0.232,0.1112,0.3492,-0.7826,-0.7689,-879.19,-347.15,-532.04,97.47,96.56,95.42,95.82,-2404,-17318,19722,2.75,1084.6,0.72
